atmid,deposit,withdraw,day
atm35000327,1025,535,Wednesday
atm35000328,1420,850,Wednesday
atm35000329,340,0,Wednesday
atm35000330,1060,195,Wednesday
atm35000331,1035,470,Wednesday
atm35000332,250,605,Wednesday
atm35000333,1610,550,Wednesday
atm35000334,650,0,Wednesday
atm35000335,1160,1130,Wednesday
atm35000336,165,515,Wednesday
atm35000337,420,200,Wednesday
atm35000338,885,765,Wednesday
atm35000339,6005,5145,Wednesday
atm35000340,200,0,Wednesday
atm35000341,260,305,Wednesday
atm35000342,465,1105,Wednesday
atm35000343,555,905,Wednesday
atm35000344,85,575,Wednesday
atm35000345,1175,490,Wednesday
atm35000346,290,750,Wednesday
atm35000347,525,540,Wednesday
atm35000348,585,1575,Wednesday
atm35000349,965,925,Wednesday
atm35000350,585,675,Wednesday
atm35000351,125,15,Wednesday
atm35000352,770,755,Wednesday
atm35000353,800,1185,Wednesday
atm35000354,275,1480,Wednesday
atm35000355,735,700,Wednesday
atm35000356,8050,5105,Wednesday
atm35000357,185,410,Wednesday
atm35000358,785,320,Wednesday
atm0,0,0,Wednesday
atm350001,25,500,Wednesday
atm350002,805,1415,Wednesday
atm350003,1070,740,Wednesday
atm350004,480,485,Wednesday
atm350005,50,610,Wednesday
atm350006,55,980,Wednesday
atm350007,545,0,Wednesday
atm350008,590,905,Wednesday
atm350009,1300,715,Wednesday
atm3500010,3755,5510,Wednesday
atm3500011,250,125,Wednesday
atm3500012,1195,0,Wednesday
atm3500013,900,925,Wednesday
atm3500014,1330,675,Wednesday
atm3500015,420,485,Wednesday
atm3500016,260,635,Wednesday
atm3500017,495,1505,Wednesday
atm3500018,880,385,Wednesday
atm3500019,1310,1265,Wednesday
atm3500020,685,0,Wednesday
atm3500021,795,1690,Wednesday
atm3500022,1220,1155,Wednesday
atm3500023,940,570,Wednesday
atm3500024,1400,470,Wednesday
atm3500025,0,15,Wednesday
atm3500026,270,280,Wednesday
atm3500027,590,1315,Wednesday
atm3500028,1075,520,Wednesday
atm3500029,640,25,Wednesday
atm3500030,1310,860,Wednesday
atm3500031,395,660,Wednesday
atm3500032,810,915,Wednesday
atm3500033,805,5,Wednesday
atm3500034,110,1125,Wednesday
atm3500035,485,1110,Wednesday
atm3500062,560,980,Wednesday
atm3500063,830,410,Wednesday
atm3500064,330,1110,Wednesday
atm3500065,300,150,Wednesday
atm35000230,845,1405,Wednesday
atm35000231,720,670,Wednesday
atm35000232,1335,670,Wednesday
atm35000233,370,400,Wednesday
atm35000234,120,485,Wednesday
atm35000235,770,625,Wednesday
atm35000236,1165,860,Wednesday
atm35000237,480,1090,Wednesday
atm35000238,1080,855,Wednesday
atm35000239,1395,1170,Wednesday
atm35000240,1005,420,Wednesday
atm35000241,525,205,Wednesday
atm35000242,0,640,Wednesday
atm35000243,25,110,Wednesday
atm35000244,320,255,Wednesday
atm35000245,690,210,Wednesday
atm35000246,1080,245,Wednesday
atm35000247,810,975,Wednesday
atm35000248,380,240,Wednesday
atm35000249,275,220,Wednesday
atm35000250,315,1140,Wednesday
atm35000251,260,425,Wednesday
atm35000252,745,1545,Wednesday
atm35000253,220,670,Wednesday
atm35000254,1715,400,Wednesday
atm35000255,325,1085,Wednesday
atm35000256,340,825,Wednesday
atm35000257,535,875,Wednesday
atm35000258,430,1430,Wednesday
atm35000259,730,565,Wednesday
atm35000260,335,0,Wednesday
atm35000261,1420,830,Wednesday
atm35000262,1225,1280,Wednesday
atm35000263,665,1190,Wednesday
atm35000264,500,255,Wednesday
atm3500036,720,670,Wednesday
atm3500037,40,1485,Wednesday
atm3500038,840,1505,Wednesday
atm3500039,220,330,Wednesday
atm3500040,520,325,Wednesday
atm3500041,380,130,Wednesday
atm3500042,1395,490,Wednesday
atm3500043,1020,655,Wednesday
atm3500044,100,690,Wednesday
atm3500045,1095,270,Wednesday
atm3500046,595,1115,Wednesday
atm3500047,665,410,Wednesday
atm3500048,70,265,Wednesday
atm3500049,775,985,Wednesday
atm3500050,245,1460,Wednesday
atm3500051,540,430,Wednesday
atm3500052,310,430,Wednesday
atm3500053,720,1605,Wednesday
atm3500054,850,760,Wednesday
atm3500055,895,55,Wednesday
atm3500056,4230,5780,Wednesday
atm3500057,50,1535,Wednesday
atm3500058,1095,895,Wednesday
atm3500059,1430,155,Wednesday
atm3500060,1240,600,Wednesday
atm3500061,0,100,Wednesday
atm3500066,820,1095,Wednesday
atm3500067,850,950,Wednesday
atm3500068,250,290,Wednesday
atm3500069,195,625,Wednesday
atm3500070,900,780,Wednesday
atm3500071,70,640,Wednesday
atm3500072,500,1470,Wednesday
atm3500073,805,455,Wednesday
atm3500074,70,1305,Wednesday
atm3500075,155,765,Wednesday
atm3500076,5010,5375,Wednesday
atm3500077,1080,1420,Wednesday
atm3500078,0,475,Wednesday
atm3500079,115,250,Wednesday
atm3500080,1155,685,Wednesday
atm3500081,150,200,Wednesday
atm3500082,705,325,Wednesday
atm3500083,3315,5290,Wednesday
atm3500084,765,785,Wednesday
atm3500085,210,1110,Wednesday
atm3500086,1060,745,Wednesday
atm3500087,6300,6480,Wednesday
atm3500088,435,325,Wednesday
atm3500089,1240,345,Wednesday
atm3500090,965,800,Wednesday
atm3500091,555,405,Wednesday
atm3500092,775,85,Wednesday
atm3500093,530,1145,Wednesday
atm3500094,785,1100,Wednesday
atm3500095,930,565,Wednesday
atm3500096,160,40,Wednesday
atm3500097,990,990,Wednesday
atm3500098,310,560,Wednesday
atm3500099,560,770,Wednesday
atm35000100,0,200,Wednesday
atm35000101,700,255,Wednesday
atm35000102,1535,1210,Wednesday
atm35000103,550,720,Wednesday
atm35000104,100,5,Wednesday
atm35000105,515,695,Wednesday
atm35000106,1035,315,Wednesday
atm35000107,165,1100,Wednesday
atm35000108,945,815,Wednesday
atm35000109,180,860,Wednesday
atm35000110,715,0,Wednesday
atm35000111,635,305,Wednesday
atm35000112,1510,360,Wednesday
atm35000113,60,205,Wednesday
atm35000114,335,595,Wednesday
atm35000115,1075,1315,Wednesday
atm35000116,890,445,Wednesday
atm35000117,0,790,Wednesday
atm35000118,440,755,Wednesday
atm35000119,1035,50,Wednesday
atm35000120,750,485,Wednesday
atm35000121,300,865,Wednesday
atm35000122,405,635,Wednesday
atm35000123,0,630,Wednesday
atm35000124,3960,5245,Wednesday
atm35000125,645,360,Wednesday
atm35000126,210,495,Wednesday
atm35000127,1015,25,Wednesday
atm35000128,350,955,Wednesday
atm35000129,120,680,Wednesday
atm35000130,830,670,Wednesday
atm35000131,420,640,Wednesday
atm35000132,585,965,Wednesday
atm35000133,1170,1430,Wednesday
atm35000134,590,1240,Wednesday
atm35000135,10,1675,Wednesday
atm35000136,1245,5,Wednesday
atm35000137,1330,360,Wednesday
atm35000138,305,400,Wednesday
atm35000139,930,55,Wednesday
atm35000140,920,705,Wednesday
atm35000141,1250,200,Wednesday
atm35000142,1150,160,Wednesday
atm35000143,885,470,Wednesday
atm35000144,600,40,Wednesday
atm35000145,1265,480,Wednesday
atm35000146,1110,200,Wednesday
atm35000147,1275,1130,Wednesday
atm35000148,980,30,Wednesday
atm35000149,390,1080,Wednesday
atm35000150,240,580,Wednesday
atm35000151,350,1710,Wednesday
atm35000152,435,530,Wednesday
atm35000153,350,575,Wednesday
atm35000154,1100,125,Wednesday
atm35000155,20,1675,Wednesday
atm35000156,385,235,Wednesday
atm35000157,480,850,Wednesday
atm35000158,1505,1410,Wednesday
atm35000159,10,200,Wednesday
atm35000160,840,440,Wednesday
atm35000161,685,665,Wednesday
atm35000162,0,240,Wednesday
atm35000163,160,340,Wednesday
atm35000164,0,1000,Wednesday
atm35000165,740,440,Wednesday
atm35000166,750,580,Wednesday
atm35000167,3970,6340,Wednesday
atm35000168,6860,5035,Wednesday
atm35000169,755,930,Wednesday
atm35000170,1285,950,Wednesday
atm35000171,935,105,Wednesday
atm35000172,225,155,Wednesday
atm35000173,20,1300,Wednesday
atm35000174,870,545,Wednesday
atm35000175,1135,1310,Wednesday
atm35000176,555,620,Wednesday
atm35000177,675,1060,Wednesday
atm35000178,1155,1495,Wednesday
atm35000179,1545,855,Wednesday
atm35000180,175,10,Wednesday
atm35000181,1850,630,Wednesday
atm35000182,1630,610,Wednesday
atm35000183,30,320,Wednesday
atm35000184,440,110,Wednesday
atm35000185,835,205,Wednesday
atm35000186,70,940,Wednesday
atm35000187,585,130,Wednesday
atm35000188,975,820,Wednesday
atm35000189,465,495,Wednesday
atm35000190,1255,115,Wednesday
atm35000191,395,1055,Wednesday
atm35000192,1015,1530,Wednesday
atm35000193,405,0,Wednesday
atm35000194,985,75,Wednesday
atm35000195,590,50,Wednesday
atm35000196,0,1040,Wednesday
atm35000197,630,1360,Wednesday
atm35000198,290,985,Wednesday
atm35000199,560,400,Wednesday
atm35000200,570,135,Wednesday
atm35000201,115,400,Wednesday
atm35000202,1230,1075,Wednesday
atm35000203,895,1010,Wednesday
atm35000204,325,140,Wednesday
atm35000205,565,1360,Wednesday
atm35000206,4210,6015,Wednesday
atm35000207,585,555,Wednesday
atm35000208,995,205,Wednesday
atm35000209,1235,265,Wednesday
atm35000210,500,0,Wednesday
atm35000211,285,555,Wednesday
atm35000212,580,955,Wednesday
atm35000213,1385,420,Wednesday
atm35000214,0,120,Wednesday
atm35000215,1495,415,Wednesday
atm35000216,890,1085,Wednesday
atm35000217,1395,5,Wednesday
atm35000218,0,915,Wednesday
atm35000219,850,1060,Wednesday
atm35000220,1105,1520,Wednesday
atm35000221,1425,450,Wednesday
atm35000222,120,155,Wednesday
atm35000223,580,1205,Wednesday
atm35000224,1040,655,Wednesday
atm35000225,695,380,Wednesday
atm35000226,255,1380,Wednesday
atm35000227,5705,6155,Wednesday
atm35000228,55,1530,Wednesday
atm35000229,930,940,Wednesday
atm35000265,90,485,Wednesday
atm35000266,865,920,Wednesday
atm35000267,0,760,Wednesday
atm35000268,190,465,Wednesday
atm35000269,905,775,Wednesday
atm35000270,580,950,Wednesday
atm35000271,485,445,Wednesday
atm35000272,7035,5490,Wednesday
atm35000273,255,685,Wednesday
atm35000274,6320,5240,Wednesday
atm35000275,5945,6485,Wednesday
atm35000276,55,1130,Wednesday
atm35000277,220,785,Wednesday
atm35000278,895,55,Wednesday
atm35000279,1115,615,Wednesday
atm35000280,0,1120,Wednesday
atm35000281,495,765,Wednesday
atm35000282,1010,460,Wednesday
atm35000283,655,300,Wednesday
atm35000284,560,1150,Wednesday
atm35000285,20,35,Wednesday
atm35000286,1175,135,Wednesday
atm35000287,975,1665,Wednesday
atm35000288,1740,105,Wednesday
atm35000289,655,10,Wednesday
atm35000290,1565,915,Wednesday
atm35000291,115,480,Wednesday
atm35000292,605,475,Wednesday
atm35000293,1105,700,Wednesday
atm35000294,1285,965,Wednesday
atm35000295,260,10,Wednesday
atm35000296,275,55,Wednesday
atm35000297,1710,1220,Wednesday
atm35000298,1600,565,Wednesday
atm35000299,1220,585,Wednesday
atm35000300,400,1055,Wednesday
atm35000301,500,550,Wednesday
atm35000302,805,690,Wednesday
atm35000303,1160,5,Wednesday
atm35000304,370,1320,Wednesday
atm35000305,270,1355,Wednesday
atm35000306,1500,705,Wednesday
atm35000307,0,1075,Wednesday
atm35000308,420,825,Wednesday
atm35000309,15,420,Wednesday
atm35000310,835,1345,Wednesday
atm35000311,950,160,Wednesday
atm35000312,700,500,Wednesday
atm35000313,865,380,Wednesday
atm35000314,6150,4985,Wednesday
atm35000315,1750,460,Wednesday
atm35000316,370,615,Wednesday
atm35000317,5125,6125,Wednesday
atm35000318,1200,1735,Wednesday
atm35000319,145,375,Wednesday
atm35000320,100,650,Wednesday
atm35000321,150,1460,Wednesday
atm35000322,595,20,Wednesday
atm35000323,715,0,Wednesday
atm35000324,355,525,Wednesday
atm35000325,1390,1010,Wednesday
atm35000326,375,1260,Wednesday
atm35000327,1155,1000,Wednesday
atm35000328,0,290,Wednesday
atm35000329,350,570,Wednesday
atm35000330,1395,585,Wednesday
atm35000331,415,560,Wednesday
atm35000332,1430,1260,Wednesday
atm35000333,970,1190,Wednesday
atm35000334,175,595,Wednesday
atm35000335,0,815,Wednesday
atm35000336,0,1190,Wednesday
atm35000337,115,5,Wednesday
atm35000338,810,490,Wednesday
atm35000339,5725,4410,Wednesday
atm35000340,1350,30,Wednesday
atm35000341,595,945,Wednesday
atm35000342,565,705,Wednesday
atm35000343,600,700,Wednesday
atm35000344,535,10,Wednesday
atm35000345,1115,980,Wednesday
atm35000346,485,545,Wednesday
atm35000347,390,560,Wednesday
atm35000348,960,0,Wednesday
atm35000349,10,225,Wednesday
atm35000350,1675,370,Wednesday
atm35000351,1695,1165,Wednesday
atm35000352,1205,1325,Wednesday
atm35000353,1345,215,Wednesday
atm35000354,720,630,Wednesday
atm35000355,1060,805,Wednesday
atm35000356,5740,7595,Wednesday
atm35000357,495,570,Wednesday
atm35000358,275,1335,Wednesday
atm0,0,0,Wednesday
atm350001,1390,920,Wednesday
atm350002,1160,565,Wednesday
atm350003,920,130,Wednesday
atm350004,175,570,Wednesday
atm350005,570,1055,Wednesday
atm350006,70,680,Wednesday
atm350007,220,1020,Wednesday
atm350008,155,1190,Wednesday
atm350009,1575,555,Wednesday
atm3500010,4275,5290,Wednesday
atm3500011,635,545,Wednesday
atm3500012,975,635,Wednesday
atm3500013,555,385,Wednesday
atm3500014,260,715,Wednesday
atm3500015,260,845,Wednesday
atm3500016,1060,415,Wednesday
atm3500017,1215,240,Wednesday
atm3500018,925,1080,Wednesday
atm3500019,415,210,Wednesday
atm3500020,950,735,Wednesday
atm3500021,340,1220,Wednesday
atm3500022,1120,100,Wednesday
atm3500023,1645,1010,Wednesday
atm3500024,575,655,Wednesday
atm3500025,1110,1110,Wednesday
atm3500026,455,65,Wednesday
atm3500027,20,1190,Wednesday
atm3500028,310,465,Wednesday
atm3500029,930,1100,Wednesday
atm3500030,775,280,Wednesday
atm3500031,1535,1040,Wednesday
atm3500032,320,100,Wednesday
atm3500033,625,460,Wednesday
atm3500034,100,1150,Wednesday
atm3500035,1015,1170,Wednesday
atm3500062,1045,400,Wednesday
atm3500063,375,1065,Wednesday
atm3500064,760,0,Wednesday
atm3500065,920,100,Wednesday
atm35000230,1180,825,Wednesday
atm35000231,1135,570,Wednesday
atm35000232,210,935,Wednesday
atm35000233,990,625,Wednesday
atm35000234,775,320,Wednesday
atm35000235,355,1205,Wednesday
atm35000236,1075,1475,Wednesday
atm35000237,1000,865,Wednesday
atm35000238,425,215,Wednesday
atm35000239,1000,1690,Wednesday
atm35000240,690,160,Wednesday
atm35000241,0,580,Wednesday
atm35000242,40,1080,Wednesday
atm35000243,1665,580,Wednesday
atm35000244,670,975,Wednesday
atm35000245,965,1175,Wednesday
atm35000246,660,1080,Wednesday
atm35000247,30,265,Wednesday
atm35000248,160,1550,Wednesday
atm35000249,670,1170,Wednesday
atm35000250,890,60,Wednesday
atm35000251,960,5,Wednesday
atm35000252,1005,700,Wednesday
atm35000253,1295,845,Wednesday
atm35000254,865,40,Wednesday
atm35000255,1880,555,Wednesday
atm35000256,725,520,Wednesday
atm35000257,100,1165,Wednesday
atm35000258,510,1120,Wednesday
atm35000259,1230,380,Wednesday
atm35000260,330,400,Wednesday
atm35000261,605,370,Wednesday
atm35000262,75,0,Wednesday
atm35000263,1460,1130,Wednesday
atm35000264,100,855,Wednesday
atm3500036,900,945,Wednesday
atm3500037,70,10,Wednesday
atm3500038,325,1420,Wednesday
atm3500039,510,830,Wednesday
atm3500040,20,130,Wednesday
atm3500041,1020,570,Wednesday
atm3500042,1415,540,Wednesday
atm3500043,530,820,Wednesday
atm3500044,1650,260,Wednesday
atm3500045,1305,230,Wednesday
atm3500046,50,415,Wednesday
atm3500047,375,715,Wednesday
atm3500048,20,1205,Wednesday
atm3500049,575,760,Wednesday
atm3500050,420,1595,Wednesday
atm3500051,720,1070,Wednesday
atm3500052,540,555,Wednesday
atm3500053,20,310,Wednesday
atm3500054,1370,1475,Wednesday
atm3500055,885,695,Wednesday
atm3500056,5260,5935,Wednesday
atm3500057,475,120,Wednesday
atm3500058,0,870,Wednesday
atm3500059,20,775,Wednesday
atm3500060,475,1215,Wednesday
atm3500061,870,795,Wednesday
atm3500066,375,470,Wednesday
atm3500067,865,1170,Wednesday
atm3500068,630,1050,Wednesday
atm3500069,185,225,Wednesday
atm3500070,735,10,Wednesday
atm3500071,705,310,Wednesday
atm3500072,1015,935,Wednesday
atm3500073,1275,1250,Wednesday
atm3500074,45,75,Wednesday
atm3500075,1655,410,Wednesday
atm3500076,4785,7460,Wednesday
atm3500077,425,0,Wednesday
atm3500078,240,0,Wednesday
atm3500079,1055,0,Wednesday
atm3500080,1185,1660,Wednesday
atm3500081,960,1130,Wednesday
atm3500082,930,75,Wednesday
atm3500083,5730,5825,Wednesday
atm3500084,150,805,Wednesday
atm3500085,515,1100,Wednesday
atm3500086,620,850,Wednesday
atm3500087,5290,7780,Wednesday
atm3500088,930,320,Wednesday
atm3500089,550,1130,Wednesday
atm3500090,200,0,Wednesday
atm3500091,45,10,Wednesday
atm3500092,450,455,Wednesday
atm3500093,405,100,Wednesday
atm3500094,615,675,Wednesday
